"house","name","species","gender","extra","mainspecies","House","mainspecies_n","long","lat","jitterlat","jitterlong","mscolor"
65,"Karli","cat","Boys","spoilt in a good way","cat","65",3,5.6719298,51.9891794,51.9892234389297,5.67182507045138,"#BEBADA"
65,"Ramses","cat","Boys","kind of gay and happy","cat","65",3,5.6719298,51.9891794,51.9892089460934,5.67177834118882,"#BEBADA"
65,NA,"boa constrictor","unknown",NA,"other","65",1,5.6719298,51.9891794,51.9892382902613,5.67193659835262,"#8DD3C7"
65,NA,"boa constrictor","unknown",NA,"other","65",1,5.6719298,51.9891794,51.9891358715923,5.67177428411173,"#8DD3C7"
65,"Sjoerd","rat snake","unknown",NA,"rat snake","65",8,5.6719298,51.9891794,51.9891854442259,5.67188711703715,"#FCCDE5"
65,"Sjef","rat snake","unknown",NA,"rat snake","65",8,5.6719298,51.9891794,51.9892337950034,5.67189475446455,"#FCCDE5"
65,"Michelangelo","mouse","unknown",NA,"other","65",1,5.6719298,51.9891794,51.9891406178655,5.67192236074804,"#8DD3C7"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.9891420737448,5.67176016344719,"#FB8072"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.9891922390822,5.67189848555802,"#FB8072"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.9892125789155,5.67176398174523,"#FB8072"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.989201575414,5.67202823943731,"#FB8072"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.9891471302444,5.67175599777056,"#FB8072"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.989178705182,5.67203122805283,"#FB8072"
65,NA,"chicken","Girls",NA,"chicken","65",4,5.6719298,51.9891794,51.9891294923415,5.67201592917073,"#FB8072"
61,NA,"chicken","Boys",NA,"chicken","61",4,5.672689,51.9890198,51.989029476732,5.6727455913774,"#FB8072"
61,NA,"chicken","Girls",NA,"chicken","61",4,5.672689,51.9890198,51.9889879553388,5.67281341980174,"#FB8072"
61,NA,"chicken","Girls",NA,"chicken","61",4,5.672689,51.9890198,51.9890724294484,5.67254010830416,"#FB8072"
61,NA,"chicken","Girls",NA,"chicken","61",4,5.672689,51.9890198,51.989035122408,5.67254246689116,"#FB8072"
61,NA,"chicken","Girls",NA,"chicken","61",4,5.672689,51.9890198,51.9889855771187,5.67279396108679,"#FB8072"
61,NA,"chicken","Girls",NA,"chicken","61",4,5.672689,51.9890198,51.9890725538409,5.67263834850757,"#FB8072"
